symbol,strike,type,openInterest,impliedVolatility,delta_barchart,gamma_barchart,theta_barchart,vega_barchart,expiration,spot,contract_multiplier
NQ,17000.0,call,25.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,23000.0,call,24.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,23500.0,call,25.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,24000.0,call,104.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,24500.0,call,63.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,25000.0,call,280.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,25250.0,call,1.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,25400.0,call,1.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,25500.0,call,106.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,25750.0,call,1.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,26000.0,call,168.0,0.0,0.9997,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,26200.0,call,1.0,0.0,0.9997,0.0,-0.0002,0.0001,2026-09-17,28922.5,20.0
NQ,26400.0,call,12.0,0.0,0.9997,0.0,-0.0011,0.0003,2026-09-17,28922.5,20.0
NQ,26500.0,call,212.0,0.0,0.9997,0.0,-0.0026,0.0007,2026-09-17,28922.5,20.0
NQ,26550.0,call,1.0,0.0,0.9997,0.0,-0.0039,0.0011,2026-09-17,28922.5,20.0
NQ,26600.0,call,1.0,0.0,0.9997,0.0,-0.0058,0.0017,2026-09-17,28922.5,20.0
NQ,26750.0,call,1.0,0.0,0.9996,0.0,-0.018,0.0051,2026-09-17,28922.5,20.0
NQ,27000.0,call,247.0,0.0,0.9994,0.0,-0.0993,0.0282,2026-09-17,28922.5,20.0
NQ,27100.0,call,3.0,0.0,0.9991,0.0,-0.1846,0.0523,2026-09-17,28922.5,20.0
NQ,27200.0,call,4.0,0.0,0.9986,0.0,-0.331,0.0934,2026-09-17,28922.5,20.0
NQ,27250.0,call,73.0,0.0,0.9982,0.0,-0.4374,0.1232,2026-09-17,28922.5,20.0
NQ,27300.0,call,1.0,0.0,0.9977,0.0,-0.5729,0.1611,2026-09-17,28922.5,20.0
NQ,27400.0,call,1.0,0.0,0.9963,0.0,-0.9571,0.2682,2026-09-17,28922.5,20.0
NQ,27500.0,call,246.0,0.0,0.9939,0.0,-1.5443,0.4312,2026-09-17,28922.5,20.0
NQ,27600.0,call,14.0,0.9853000000000001,0.7152,0.0001,-146.7416,8.8937,2026-09-17,28922.5,20.0
NQ,27650.0,call,3.0,0.9682999999999999,0.711,0.0001,-145.2337,8.955,2026-09-17,28922.5,20.0
NQ,27700.0,call,1.0,0.9515,0.7067,0.0001,-143.7397,9.0176,2026-09-17,28922.5,20.0
NQ,27750.0,call,58.0,0.9349,0.7021,0.0001,-142.2566,9.0814,2026-09-17,28922.5,20.0
NQ,27800.0,call,84.0,0.9174,0.6976,0.0001,-140.5756,9.144,2026-09-17,28922.5,20.0
NQ,27900.0,call,66.0,0.8843000000000001,0.6876,0.0002,-137.5354,9.2762,2026-09-17,28922.5,20.0
NQ,28000.0,call,236.0,0.5176,0.7626,0.0002,-70.2806,8.0965,2026-09-17,28922.5,20.0
NQ,28100.0,call,73.0,0.8173,0.6651,0.0002,-130.9532,9.5462,2026-09-17,28922.5,20.0
